  id  | CrewID |   gDate    | CourseID_id | PID_id 
 4701 |      1 | 2025-07-05 |           1 |      6
 4702 |      1 | 2025-07-05 |           1 |      2
 4703 |      1 | 2025-07-05 |           1 |     30
 4704 |      1 | 2025-07-05 |           1 |      8
 4705 |      1 | 2025-07-12 |           2 |     12
 4709 |      1 | 2025-07-12 |           3 |     23
 4710 |      1 | 2025-07-12 |           3 |     15
 4711 |      1 | 2025-07-12 |           3 |     16
 4713 |      1 | 2025-07-12 |           1 |      8
 4714 |      1 | 2025-07-12 |           1 |     28
 4715 |      1 | 2025-07-12 |           1 |     14
 4717 |      1 | 2025-08-02 |           2 |      4
 4718 |      1 | 2025-08-02 |           2 |     16
 4719 |      1 | 2025-08-02 |           2 |     22
 4720 |      1 | 2025-08-02 |           2 |     30
 4721 |      1 | 2025-08-02 |           3 |     10
 4722 |      1 | 2025-08-02 |           3 |     17
 4723 |      1 | 2025-08-02 |           3 |      8
 4724 |      1 | 2025-08-02 |           3 |     12
 4725 |      1 | 2025-08-02 |           1 |     20
 4726 |      1 | 2025-08-02 |           1 |      9
 4727 |      1 | 2025-08-02 |           1 |     28
 4728 |      1 | 2025-08-02 |           1 |     29
 4668 |      1 | 2025-06-14 |           1 |      3
 4712 |      1 | 2025-07-12 |           3 |      3
 4623 |      1 | 2025-05-24 |           2 |      5
 4708 |      1 | 2025-07-12 |           2 |      5
 4598 |      1 | 2025-05-10 |           2 |     21
 4637 |      1 | 2025-05-31 |           3 |     21
 4698 |      1 | 2025-07-05 |           3 |     21
 4602 |      1 | 2025-05-10 |           3 |      1
 4679 |      1 | 2025-06-21 |           1 |      1
 4716 |      1 | 2025-07-12 |           1 |      1
 4614 |      1 | 2025-05-17 |           3 |     19
 4706 |      1 | 2025-07-12 |           2 |     19
 4630 |      1 | 2025-05-24 |           1 |      7
 4665 |      1 | 2025-06-14 |           1 |      7
 4707 |      1 | 2025-07-12 |           2 |      7
 4729 |      1 | 2025-08-09 |           2 |     13
 4730 |      1 | 2025-08-09 |           2 |     22
 4731 |      1 | 2025-08-09 |           2 |      9
 4732 |      1 | 2025-08-09 |           2 |      6
 4733 |      1 | 2025-08-09 |           3 |      2
 4734 |      1 | 2025-08-09 |           3 |     26
 4735 |      1 | 2025-08-09 |           3 |     27
 4736 |      1 | 2025-08-09 |           3 |     18
 4738 |      1 | 2025-08-09 |           1 |     24
 4739 |      1 | 2025-08-09 |           1 |     10
 4740 |      1 | 2025-08-09 |           1 |     14
 4741 |      1 | 2025-08-16 |           2 |     28
 4742 |      1 | 2025-08-16 |           2 |     11
 4743 |      1 | 2025-08-16 |           2 |     24
 4744 |      1 | 2025-08-16 |           2 |     12
 4745 |      1 | 2025-08-16 |           3 |     16
 4746 |      1 | 2025-08-16 |           3 |     27
 4747 |      1 | 2025-08-16 |           3 |     29
 4748 |      1 | 2025-08-16 |           3 |     10
 4749 |      1 | 2025-08-16 |           1 |     15
 4750 |      1 | 2025-08-16 |           1 |     30
 4752 |      1 | 2025-08-16 |           1 |      6
 4753 |      1 | 2025-08-23 |           2 |     17
 4754 |      1 | 2025-08-23 |           2 |      6
 4755 |      1 | 2025-08-23 |           2 |     16
 4756 |      1 | 2025-08-23 |           2 |     20
 4758 |      1 | 2025-08-23 |           3 |     14
 4760 |      1 | 2025-08-23 |           3 |      9
 4761 |      1 | 2025-08-23 |           1 |     22
 4762 |      1 | 2025-08-23 |           1 |     18
 4763 |      1 | 2025-08-23 |           1 |     12
 4764 |      1 | 2025-08-23 |           1 |     11
 4765 |      1 | 2025-08-30 |           2 |     24
 4766 |      1 | 2025-08-30 |           2 |     10
 4767 |      1 | 2025-08-30 |           2 |     27
 4768 |      1 | 2025-08-30 |           2 |     17
 4769 |      1 | 2025-08-30 |           3 |      9
 4770 |      1 | 2025-08-30 |           3 |     12
 4771 |      1 | 2025-08-30 |           3 |     30
 4772 |      1 | 2025-08-30 |           3 |     14
 4773 |      1 | 2025-08-30 |           1 |     11
 4774 |      1 | 2025-08-30 |           1 |      4
 4775 |      1 | 2025-08-30 |           1 |     23
 4776 |      1 | 2025-08-30 |           1 |     15
 4591 |      1 | 2025-05-03 |           3 |      3
 4641 |      1 | 2025-05-31 |           1 |      3
 4600 |      1 | 2025-05-10 |           2 |      5
 4759 |      1 | 2025-08-23 |           3 |      5
 4751 |      1 | 2025-08-16 |           1 |     21
 4737 |      1 | 2025-08-09 |           1 |     19
 4573 |      1 | 2025-04-26 |           2 |      7
 4757 |      1 | 2025-08-23 |           3 |      7
(216 rows)

